City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,bangarmau,26.9,80.2167,31.12,64,99,5.84,IN,1722667551
275,geraldton,-28.7667,114.6,19.23,59,0,4.12,AU,1722667553
276,gadzhiyevo,69.2551,33.3362,12.38,77,44,5.49,RU,1722667556
277,labrador city,52.9463,-66.9114,17.88,77,20,4.92,CA,1722667557
278,byron bay,-28.65,153.6167,15.95,71,0,4.38,AU,1722667558
279,cabedelo,-6.9811,-34.8339,21.37,83,78,5.69,BR,1722667387
280,martapura,-3.4167,114.85,33.05,58,40,1.54,ID,1722667563
281,talcahuano,-36.7167,-73.1167,10.82,93,75,3.09,CL,1722667564
282,iskateley,67.6803,53.1512,21.35,49,0,8.42,RU,1722667566
283,kingston,17.997,-76.7936,28.53,79,20,6.69,JM,1722667184
284,ataq,14.5377,46.8319,28.92,45,55,7.81,YE,1722667568
285,caraballeda,10.6112,-66.8522,27.43,80,100,1.54,VE,1722667570
286,kristinestad,62.2743,21.376,16.72,94,100,2.14,FI,1722667571
287,queenstown,-31.8976,26.8753,12.42,35,0,2.99,ZA,1722667573
288,arkhangel'sk,64.5401,40.5433,16.06,100,100,4.0,RU,1722667574
289,wisch,51.9265,6.4171,20.23,89,100,0.45,NL,1722667576
290,scarborough,54.2797,-0.4044,18.76,81,98,0.89,GB,1722667577
291,coxim,-18.5067,-54.76,22.82,36,0,2.08,BR,1722667578
292,altdorf,49.3875,11.3572,17.18,91,1,1.67,DE,1722667580
293,conduaga,8.862,117.4893,29.26,67,100,2.34,PH,1722667581
294,ambon,-3.6954,128.1814,28.82,95,75,2.06,ID,1722667583
295,aileu,-8.7281,125.5664,26.09,48,43,1.7,TL,1722667584
296,argo,37.6333,22.7333,28.21,28,0,0.96,GR,1722667585
297,balfour,-26.6633,28.5902,14.28,44,0,1.63,ZA,1722667587
298,booue,-0.0921,11.9385,24.14,73,22,2.33,GA,1722667588
299,mahina,-17.5065,-149.489,21.87,73,20,1.54,PF,1722667590
300,nar'yan-mar,67.6713,53.087,21.31,49,0,8.41,RU,1722667591
301,caleta de carquin,-11.0925,-77.6267,16.04,90,23,4.46,PE,1722667592
302,ciudad del carmen,18.6333,-91.8333,27.3,82,97,3.57,MX,1722667594
303,lerwick,60.1545,-1.1494,12.0,83,98,3.77,GB,1722667595
304,ola,59.5833,151.2833,15.4,48,7,4.32,RU,1722667597
305,chamical,-30.36,-66.314,15.74,63,2,3.14,AR,1722667600
306,es castell,39.8795,4.2854,26.38,69,0,11.83,ES,1722667601
307,basco,20.4487,121.9702,29.96,79,29,6.57,PH,1722667602
308,belyy yar,53.6039,91.3903,28.94,45,0,4.0,RU,1722667604
309,posto fiscal rolim de moura,-13.0833,-62.2667,21.41,51,0,0.66,BR,1722667605
310,vorgashor,67.5833,63.95,22.54,46,61,8.43,RU,1722667607
311,sao jose da coroa grande,-8.8978,-35.1478,23.4,80,17,4.92,BR,1722667608
312,santa maria,-29.6842,-53.8069,21.4,51,0,8.08,BR,1722667473
313,saipan,15.1355,145.701,31.39,70,20,5.66,MP,1722667581
314,labytnangi,66.6572,66.4183,21.84,61,81,9.93,RU,1722667616
315,radziejow,52.6248,18.5277,20.46,58,99,2.55,PL,1722667618
316,qaisumah,28.3112,46.1273,36.98,9,0,3.09,SA,1722667619
317,bubaque,11.2833,-15.8333,26.36,82,84,3.78,GW,1722667621
318,ulladulla,-35.35,150.4667,13.76,68,7,2.28,AU,1722667622
319,krasnoarmeyskoye,52.7182,50.0322,23.09,51,86,6.59,RU,1722667623
320,kaya,13.0917,-1.0844,25.52,78,100,3.05,BF,1722667625
321,sao joao da barra,-21.6403,-41.0511,21.98,82,34,5.39,BR,1722667626
322,luanda,-8.8368,13.2343,19.0,88,100,2.06,AO,1722667628
323,pangai,-19.8,-174.35,24.06,78,20,5.14,TO,1722667629
324,nueva palestina,15.8,-92.75,20.15,98,100,0.71,MX,1722667630
325,vyritsa,59.4078,30.3481,17.73,81,100,0.36,RU,1722667632
326,kuala tungkal,-0.8167,103.4667,32.4,55,59,4.18,ID,1722667633
327,suda,59.1525,37.5582,22.06,63,48,0.98,RU,1722667635
328,narasannapeta,18.4167,84.05,30.74,64,100,2.11,IN,1722667636
329,akrehamn,59.2667,5.1833,17.22,82,40,5.66,NO,1722667638
330,plettenberg bay,-34.0527,23.3716,14.14,45,0,1.77,ZA,1722667639
331,los altos,37.3852,-122.1141,21.38,77,0,3.6,US,1722667640
332,horta,38.5333,-28.6333,20.8,83,20,2.57,PT,1722667642
333,tabou,4.423,-7.3528,24.2,82,100,4.46,CI,1722667643
334,alofi,-19.0595,-169.9187,22.94,73,100,3.6,NU,1722667645
335,vorkuta,67.5,64.0,22.68,47,43,8.51,RU,1722667646
336,san juan de miraflores,-12.1629,-76.9635,16.04,88,67,3.09,PE,1722667647
337,akureyri,65.6835,-18.0878,9.96,76,75,1.03,IS,1722667649
338,nova vicosa,-17.8919,-39.3719,20.95,90,73,1.58,BR,1722667384
339,woodward,36.4337,-99.3904,21.65,66,0,2.06,US,1722667652
340,novodvinsk,64.4165,40.8122,15.86,67,99,2.87,RU,1722667653
341,maizuru,35.45,135.3333,34.02,69,46,2.69,JP,1722667654
